D,H2,phi
16,0.5,0.99
16,0.1,0.94
16,0.3,0.78
16,0.05,0.83
16,0.6,0.75
16,0.4,0.9
16,0.8,0.96
16,0.2,0.73
16,0.9,0.87
16,0.55,0.86
16,0.7,0.78
20,0.75,0.98
20,0.3,0.89
20,0.95,0.96
20,0.1,0.88
20,0.85,0.95
20,0.15,0.97
20,0.6,0.88
20,0.35,0.7
20,0.8,0.82
20,0.4,0.8
20,0.2,0.8
20,0.9,0.85
20,0,0.72
20,0.45,0.72
25,0.95,0.9
25,0.8,0.76
25,0.35,0.73
25,0.2,0.76
25,0.25,0.85
25,0.4,0.95
25,0.8,0.9
25,0.65,0.84
25,0.45,0.85
25,0.7,0.94
16,0.3,0.97
20,0.5,0.95
20,0.17,0.73
20,0.9,0.7
25,0.11,0.96
25,0.54,0.74
